Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
16581,22-11-2021 19:00,11-21-2021 20:00,22-11-2021 00:47,Mumbai,381,CYBERCRIME,17,F,Firearm,Other Crime,11,No,
16585,24-11-2021 20:00,11-22-2021 00:00,22-11-2021 20:22,Mumbai,429,BURGLARY,66,X,None,Other Crime,11,No,
16589,24-11-2021 17:00,11-22-2021 04:00,22-11-2021 18:30,Chennai,379,VANDALISM,43,M,None,Other Crime,17,Yes,15-01-2022 17:00
16590,23-11-2021 17:00,11-22-2021 05:00,22-11-2021 09:56,Mumbai,230,IDENTITY THEFT,63,F,Firearm,Violent Crime,6,Yes,09-01-2022 17:00
16592,24-11-2021 05:00,11-22-2021 07:00,22-11-2021 18:59,Delhi,318,KIDNAPPING,64,X,Blunt Object,Other Crime,17,No,
16596,24-11-2021 17:00,11-22-2021 11:00,23-11-2021 03:34,Chennai,418,DRUG OFFENSE,37,M,Poison,Other Crime,13,No,
16600,24-11-2021 00:00,11-22-2021 15:00,22-11-2021 19:36,Delhi,248,ARSON,21,F,Knife,Fire Accident,8,No,
16602,24-11-2021 19:00,11-22-2021 17:00,22-11-2021 18:18,Chennai,398,KIDNAPPING,20,M,None,Other Crime,6,Yes,10-02-2022 19:00
16605,25-11-2021 12:00,11-22-2021 20:00,22-11-2021 20:37,Mumbai,389,SHOPLIFTING,45,F,Knife,Other Crime,14,Yes,14-02-2022 12:00
16606,23-11-2021 12:00,11-22-2021 21:00,23-11-2021 02:43,Delhi,208,ARSON,21,X,Explosives,Fire Accident,17,Yes,07-02-2022 12:00
16608,25-11-2021 03:00,11-22-2021 23:00,23-11-2021 22:30,Mumbai,374,DOMESTIC VIOLENCE,27,F,Explosives,Violent Crime,18,Yes,12-01-2022 03:00
16614,23-11-2021 21:00,11-23-2021 05:00,23-11-2021 09:10,Mumbai,275,DRUG OFFENSE,39,X,Knife,Other Crime,19,No,
16616,23-11-2021 17:00,11-23-2021 07:00,24-11-2021 03:24,Delhi,350,ASSAULT,27,F,Firearm,Violent Crime,17,Yes,04-01-2022 17:00
16617,23-11-2021 19:00,11-23-2021 08:00,24-11-2021 05:31,Chennai,108,ARSON,73,X,Explosives,Fire Accident,2,Yes,03-02-2022 19:00
16618,24-11-2021 18:00,11-23-2021 09:00,23-11-2021 19:21,Chennai,310,KIDNAPPING,73,X,Explosives,Other Crime,13,No,
16620,26-11-2021 00:00,11-23-2021 11:00,23-11-2021 22:13,Chennai,592,ARSON,75,X,Firearm,Fire Accident,6,Yes,21-12-2021 00:00
16621,26-11-2021 02:00,11-23-2021 12:00,23-11-2021 21:45,Chennai,263,VEHICLE - STOLEN,15,M,Firearm,Violent Crime,10,Yes,25-01-2022 02:00
16623,24-11-2021 18:00,11-23-2021 14:00,24-11-2021 06:46,Delhi,397,CYBERCRIME,10,M,Other,Other Crime,3,No,
16626,24-11-2021 17:00,11-23-2021 17:00,24-11-2021 14:13,Delhi,135,CYBERCRIME,36,F,Poison,Other Crime,6,Yes,16-01-2022 17:00
16627,24-11-2021 13:00,11-23-2021 18:00,24-11-2021 16:22,Delhi,509,VEHICLE - STOLEN,62,F,Blunt Object,Violent Crime,7,No,
16628,25-11-2021 02:00,11-23-2021 19:00,24-11-2021 17:06,Chennai,467,DRUG OFFENSE,33,X,Explosives,Other Crime,3,Yes,02-01-2022 02:00
16631,24-11-2021 08:00,11-23-2021 22:00,24-11-2021 05:22,Delhi,381,VANDALISM,30,F,Explosives,Other Crime,18,No,
16633,25-11-2021 06:00,11-24-2021 00:00,24-11-2021 01:42,Delhi,144,HOMICIDE,52,F,Blunt Object,Other Crime,10,No,
16636,25-11-2021 10:00,11-24-2021 03:00,24-11-2021 09:39,Delhi,372,FRAUD,65,F,Firearm,Other Crime,9,Yes,31-12-2021 10:00
16637,25-11-2021 06:00,11-24-2021 04:00,24-11-2021 14:54,Delhi,407,PUBLIC INTOXICATION,30,F,Other,Other Crime,7,No,
16639,24-11-2021 12:00,11-24-2021 06:00,24-11-2021 07:52,Mumbai,405,ILLEGAL POSSESSION,40,F,None,Other Crime,7,No,
16642,26-11-2021 14:00,11-24-2021 09:00,24-11-2021 16:17,Mumbai,321,VANDALISM,12,F,Blunt Object,Other Crime,3,No,
16643,27-11-2021 02:00,11-24-2021 10:00,24-11-2021 13:09,Delhi,211,VANDALISM,52,X,Explosives,Other Crime,12,Yes,27-12-2021 02:00
16646,27-11-2021 08:00,11-24-2021 13:00,25-11-2021 04:30,Mumbai,512,COUNTERFEITING,52,X,Explosives,Other Crime,19,Yes,19-02-2022 08:00
16647,25-11-2021 02:00,11-24-2021 14:00,25-11-2021 13:17,Chennai,536,KIDNAPPING,60,X,None,Other Crime,2,Yes,12-01-2022 02:00
16651,27-11-2021 06:00,11-24-2021 18:00,25-11-2021 00:07,Delhi,354,ASSAULT,10,M,Firearm,Violent Crime,9,No,
16657,26-11-2021 23:00,11-25-2021 00:00,25-11-2021 12:30,Delhi,585,DRUG OFFENSE,70,X,Poison,Other Crime,5,Yes,27-12-2021 23:00
16658,26-11-2021 12:00,11-25-2021 01:00,25-11-2021 07:38,Delhi,121,COUNTERFEITING,37,F,Other,Other Crime,17,No,
16660,27-11-2021 19:00,11-25-2021 03:00,25-11-2021 10:53,Mumbai,592,BURGLARY,51,X,Blunt Object,Other Crime,6,No,
16661,26-11-2021 08:00,11-25-2021 04:00,25-11-2021 08:30,Chennai,388,VEHICLE - STOLEN,77,F,None,Violent Crime,13,Yes,10-01-2022 08:00
16667,25-11-2021 11:00,11-25-2021 10:00,25-11-2021 16:22,Delhi,563,FIREARM OFFENSE,14,F,Knife,Fire Accident,13,Yes,18-12-2021 11:00
16669,28-11-2021 05:00,11-25-2021 12:00,26-11-2021 07:33,Chennai,285,CYBERCRIME,77,M,Poison,Other Crime,15,No,
16671,26-11-2021 02:00,11-25-2021 14:00,26-11-2021 01:03,Delhi,534,ROBBERY,21,F,Poison,Violent Crime,7,No,
16675,26-11-2021 15:00,11-25-2021 18:00,26-11-2021 09:13,Delhi,320,VANDALISM,70,F,Explosives,Other Crime,16,Yes,19-02-2022 15:00
16676,27-11-2021 20:00,11-25-2021 19:00,25-11-2021 22:23,Delhi,294,PUBLIC INTOXICATION,41,M,Firearm,Other Crime,8,No,
16678,28-11-2021 20:00,11-25-2021 21:00,25-11-2021 23:19,Delhi,353,FIREARM OFFENSE,79,X,Knife,Fire Accident,9,No,
16679,27-11-2021 14:00,11-25-2021 22:00,26-11-2021 01:33,Delhi,339,SEXUAL ASSAULT,29,F,Knife,Violent Crime,16,Yes,25-12-2022 14:00
16689,28-11-2021 01:00,11-26-2021 08:00,27-11-2021 01:34,Delhi,172,ASSAULT,56,X,Other,Violent Crime,17,No,
16690,29-11-2021 03:00,11-26-2021 09:00,26-11-2021 10:41,Delhi,404,HOMICIDE,20,M,Poison,Other Crime,4,Yes,13-09-2023 03:00
16700,26-11-2021 20:00,11-26-2021 19:00,27-11-2021 10:43,Delhi,194,KIDNAPPING,34,X,Blunt Object,Other Crime,4,No,
16703,28-11-2021 17:00,11-26-2021 22:00,27-11-2021 14:28,Delhi,325,HOMICIDE,22,F,None,Other Crime,19,Yes,15-09-2022 17:00
16706,29-11-2021 12:00,11-27-2021 01:00,27-11-2021 06:28,Mumbai,288,VANDALISM,79,F,None,Other Crime,5,Yes,17-12-2021 12:00
16711,29-11-2021 14:00,11-27-2021 06:00,27-11-2021 21:18,Delhi,440,SEXUAL ASSAULT,57,X,Blunt Object,Violent Crime,7,Yes,09-04-2023 14:00
16712,29-11-2021 10:00,11-27-2021 07:00,27-11-2021 20:30,Mumbai,112,VEHICLE - STOLEN,66,X,None,Violent Crime,10,Yes,03-01-2022 10:00
16718,27-11-2021 22:00,11-27-2021 13:00,28-11-2021 03:11,Mumbai,141,VANDALISM,77,M,Firearm,Other Crime,15,Yes,06-02-2022 22:00
16723,29-11-2021 11:00,11-27-2021 18:00,28-11-2021 13:22,Mumbai,381,FIREARM OFFENSE,68,F,Blunt Object,Fire Accident,17,Yes,20-01-2022 11:00
16724,28-11-2021 15:00,11-27-2021 19:00,28-11-2021 01:53,Mumbai,182,SHOPLIFTING,54,M,Firearm,Other Crime,4,Yes,10-02-2022 15:00
16729,30-11-2021 21:00,11-28-2021 00:00,28-11-2021 05:54,Mumbai,538,DRUG OFFENSE,79,F,None,Other Crime,14,No,
16731,29-11-2021 10:00,11-28-2021 02:00,28-11-2021 14:38,Delhi,210,DRUG OFFENSE,25,X,Knife,Other Crime,4,No,
16741,29-11-2021 14:00,11-28-2021 12:00,28-11-2021 17:00,Delhi,309,TRAFFIC VIOLATION,19,M,Blunt Object,Traffic Fatality,10,No,
16745,30-11-2021 17:00,11-28-2021 16:00,28-11-2021 17:30,Mumbai,159,ARSON,44,M,None,Fire Accident,2,Yes,10-01-2022 17:00
16747,30-11-2021 12:00,11-28-2021 18:00,28-11-2021 18:50,Chennai,268,SEXUAL ASSAULT,34,X,Blunt Object,Violent Crime,7,Yes,14-06-2023 12:00
16750,29-11-2021 18:00,11-28-2021 21:00,28-11-2021 21:38,Chennai,413,DOMESTIC VIOLENCE,56,M,Poison,Violent Crime,18,No,
16753,30-11-2021 05:00,11-29-2021 00:00,29-11-2021 01:00,Delhi,571,PUBLIC INTOXICATION,12,M,Knife,Other Crime,18,Yes,18-12-2021 05:00
16754,29-11-2021 17:00,11-29-2021 01:00,29-11-2021 07:00,Mumbai,308,DOMESTIC VIOLENCE,62,F,Poison,Violent Crime,10,No,
16757,30-11-2021 22:00,11-29-2021 04:00,29-11-2021 10:24,Delhi,471,KIDNAPPING,11,F,Explosives,Other Crime,15,Yes,25-02-2022 22:00
16760,02-12-2021 03:00,11-29-2021 07:00,29-11-2021 15:31,Mumbai,494,ARSON,64,M,Other,Fire Accident,15,No,
16762,02-12-2021 05:00,11-29-2021 09:00,30-11-2021 00:52,Delhi,134,VEHICLE - STOLEN,37,F,None,Violent Crime,6,No,
16763,30-11-2021 10:00,11-29-2021 10:00,29-11-2021 15:33,Delhi,322,SHOPLIFTING,51,M,Other,Other Crime,7,No,
16767,30-11-2021 09:00,11-29-2021 14:00,30-11-2021 12:45,Mumbai,251,ASSAULT,76,F,None,Violent Crime,3,No,
16769,01-12-2021 10:00,11-29-2021 16:00,30-11-2021 12:21,Delhi,510,FIREARM OFFENSE,73,M,None,Fire Accident,2,Yes,26-02-2022 10:00
16772,29-11-2021 22:00,11-29-2021 19:00,30-11-2021 10:56,Delhi,198,ASSAULT,20,X,Blunt Object,Violent Crime,13,No,
16776,30-11-2021 18:00,11-29-2021 23:00,30-11-2021 05:44,Delhi,440,SHOPLIFTING,50,M,Knife,Other Crime,1,No,
16778,30-11-2021 16:00,11-30-2021 01:00,30-11-2021 07:19,Delhi,582,KIDNAPPING,19,X,Knife,Other Crime,19,Yes,18-12-2021 16:00
16792,30-11-2021 21:00,11-30-2021 15:00,01-12-2021 00:38,Chennai,221,TRAFFIC VIOLATION,68,F,Blunt Object,Traffic Fatality,14,No,
16796,02-12-2021 03:00,11-30-2021 19:00,30-11-2021 19:24,Mumbai,387,ASSAULT,38,X,Explosives,Violent Crime,7,No,
16800,02-12-2021 07:00,11-30-2021 23:00,01-12-2021 07:02,Delhi,191,ROBBERY,70,X,Knife,Violent Crime,14,No,
16804,01-12-2021 05:00,12-01-2021 03:00,01-12-2021 16:19,Delhi,484,HOMICIDE,45,M,Poison,Other Crime,11,No,
16809,01-12-2021 21:00,12-01-2021 08:00,01-12-2021 08:47,Mumbai,253,EXTORTION,63,M,None,Other Crime,9,No,
16811,04-12-2021 01:00,12-01-2021 10:00,01-12-2021 18:21,Chennai,192,ILLEGAL POSSESSION,43,F,Firearm,Other Crime,8,Yes,27-12-2021 01:00
16812,04-12-2021 06:00,12-01-2021 11:00,01-12-2021 18:05,Delhi,339,PUBLIC INTOXICATION,19,X,Other,Other Crime,17,No,
16815,03-12-2021 13:00,12-01-2021 14:00,02-12-2021 12:33,Delhi,308,COUNTERFEITING,18,F,Explosives,Other Crime,17,No,
16816,03-12-2021 14:00,12-01-2021 15:00,02-12-2021 03:54,Mumbai,427,PUBLIC INTOXICATION,57,F,Other,Other Crime,5,Yes,19-12-2021 14:00
16817,03-12-2021 06:00,12-01-2021 16:00,02-12-2021 00:29,Delhi,532,KIDNAPPING,42,X,Explosives,Other Crime,7,No,
16818,04-12-2021 15:00,12-01-2021 17:00,02-12-2021 09:41,Delhi,464,KIDNAPPING,52,F,Firearm,Other Crime,16,Yes,16-01-2022 15:00
16819,03-12-2021 09:00,12-01-2021 18:00,02-12-2021 14:55,Chennai,431,ASSAULT,34,X,None,Violent Crime,14,Yes,23-12-2021 09:00
16820,04-12-2021 08:00,12-01-2021 19:00,01-12-2021 22:01,Chennai,325,FIREARM OFFENSE,28,M,Firearm,Fire Accident,5,No,
16822,02-12-2021 18:00,12-01-2021 21:00,02-12-2021 12:56,Delhi,274,EXTORTION,59,M,Knife,Other Crime,14,No,
16823,02-12-2021 00:00,12-01-2021 22:00,02-12-2021 08:08,Mumbai,571,EXTORTION,26,M,None,Other Crime,17,No,
16824,04-12-2021 00:00,12-01-2021 23:00,01-12-2021 23:06,Delhi,153,FRAUD,46,X,Other,Other Crime,12,No,
16825,03-12-2021 21:00,12-02-2021 00:00,02-12-2021 21:50,Delhi,559,COUNTERFEITING,64,M,Firearm,Other Crime,6,Yes,31-01-2022 21:00
16827,02-12-2021 20:00,12-02-2021 02:00,02-12-2021 12:54,Mumbai,224,FRAUD,42,M,Explosives,Other Crime,3,Yes,10-02-2022 20:00
16829,03-12-2021 22:00,12-02-2021 04:00,02-12-2021 06:14,Delhi,151,PUBLIC INTOXICATION,10,X,Knife,Other Crime,8,No,
16836,02-12-2021 14:00,12-02-2021 11:00,03-12-2021 02:15,Delhi,169,IDENTITY THEFT,19,M,Poison,Violent Crime,11,Yes,24-01-2022 14:00
16837,03-12-2021 14:00,12-02-2021 12:00,02-12-2021 21:39,Mumbai,513,IDENTITY THEFT,41,M,Explosives,Violent Crime,11,No,
16838,03-12-2021 17:00,12-02-2021 13:00,03-12-2021 11:47,Delhi,122,KIDNAPPING,75,M,Firearm,Other Crime,1,No,
16840,03-12-2021 10:00,12-02-2021 15:00,03-12-2021 06:45,Mumbai,435,HOMICIDE,25,X,Firearm,Other Crime,7,No,
16841,03-12-2021 05:00,12-02-2021 16:00,02-12-2021 21:35,Mumbai,436,CYBERCRIME,57,X,None,Other Crime,9,No,
16852,04-12-2021 15:00,12-03-2021 03:00,03-12-2021 16:41,Chennai,254,SEXUAL ASSAULT,40,F,Poison,Violent Crime,10,Yes,22-07-2022 15:00
16859,05-12-2021 20:00,12-03-2021 10:00,03-12-2021 20:59,Chennai,483,BURGLARY,58,F,Firearm,Other Crime,8,Yes,10-04-2022 20:00
16862,05-12-2021 13:00,12-03-2021 13:00,03-12-2021 15:11,Delhi,595,EXTORTION,73,X,Other,Other Crime,17,Yes,18-02-2022 13:00
16863,06-12-2021 09:00,12-03-2021 14:00,03-12-2021 17:02,Mumbai,596,SEXUAL ASSAULT,72,F,Knife,Violent Crime,12,No,
16865,05-12-2021 04:00,12-03-2021 16:00,04-12-2021 10:25,Delhi,591,KIDNAPPING,66,F,Other,Other Crime,7,Yes,25-12-2021 04:00
16866,03-12-2021 18:00,12-03-2021 17:00,04-12-2021 07:18,Mumbai,121,ROBBERY,43,F,Other,Violent Crime,10,No,
16871,04-12-2021 17:00,12-03-2021 22:00,04-12-2021 13:35,Mumbai,139,ILLEGAL POSSESSION,26,X,Poison,Other Crime,6,No,
16872,06-12-2021 09:00,12-03-2021 23:00,03-12-2021 23:34,Mumbai,366,PUBLIC INTOXICATION,58,F,Knife,Other Crime,11,No,
16873,04-12-2021 18:00,12-04-2021 00:00,04-12-2021 00:25,Mumbai,250,EXTORTION,27,M,Poison,Other Crime,1,Yes,21-01-2022 18:00
16876,04-12-2021 20:00,12-04-2021 03:00,04-12-2021 10:27,Delhi,113,ARSON,57,F,None,Fire Accident,15,Yes,21-01-2022 20:00
16880,04-12-2021 11:00,12-04-2021 07:00,04-12-2021 21:43,Delhi,500,VEHICLE - STOLEN,39,X,Firearm,Violent Crime,17,No,
16885,04-12-2021 18:00,12-04-2021 12:00,04-12-2021 13:16,Mumbai,574,CYBERCRIME,18,M,Other,Other Crime,17,No,
16886,05-12-2021 17:00,12-04-2021 13:00,04-12-2021 21:21,Mumbai,388,KIDNAPPING,15,X,Poison,Other Crime,11,Yes,07-01-2022 17:00
16887,06-12-2021 11:00,12-04-2021 14:00,05-12-2021 01:56,Mumbai,480,SEXUAL ASSAULT,24,F,Poison,Violent Crime,6,No,
16888,05-12-2021 08:00,12-04-2021 15:00,04-12-2021 19:33,Delhi,155,ROBBERY,48,X,Blunt Object,Violent Crime,8,Yes,17-04-2022 08:00
16891,05-12-2021 13:00,12-04-2021 18:00,05-12-2021 10:07,Delhi,249,ASSAULT,12,X,Other,Violent Crime,15,No,
16897,07-12-2021 22:00,12-05-2021 00:00,05-12-2021 09:19,Delhi,573,BURGLARY,46,M,None,Other Crime,17,Yes,19-05-2022 22:00
16898,06-12-2021 05:00,12-05-2021 01:00,05-12-2021 20:02,Mumbai,104,FIREARM OFFENSE,57,X,Explosives,Fire Accident,10,No,
16902,07-12-2021 05:00,12-05-2021 05:00,05-12-2021 07:07,Delhi,377,DRUG OFFENSE,58,X,Explosives,Other Crime,2,No,
16903,07-12-2021 20:00,12-05-2021 06:00,05-12-2021 23:26,Chennai,475,EXTORTION,21,F,Blunt Object,Other Crime,3,No,
16906,06-12-2021 04:00,12-05-2021 09:00,06-12-2021 06:47,Chennai,146,KIDNAPPING,45,M,Firearm,Other Crime,14,Yes,04-03-2022 04:00
16908,07-12-2021 22:00,12-05-2021 11:00,06-12-2021 08:59,Delhi,301,VANDALISM,28,M,Blunt Object,Other Crime,3,Yes,31-01-2022 22:00
16910,07-12-2021 22:00,12-05-2021 13:00,06-12-2021 11:15,Mumbai,175,VEHICLE - STOLEN,45,X,Knife,Violent Crime,19,No,
16911,07-12-2021 19:00,12-05-2021 14:00,06-12-2021 10:31,Delhi,355,ASSAULT,11,X,Poison,Violent Crime,16,Yes,03-01-2022 19:00
16913,08-12-2021 15:00,12-05-2021 16:00,06-12-2021 01:48,Chennai,523,VEHICLE - STOLEN,73,X,Explosives,Violent Crime,4,No,
16915,08-12-2021 09:00,12-05-2021 18:00,06-12-2021 13:44,Delhi,289,EXTORTION,35,F,Poison,Other Crime,13,No,
16917,08-12-2021 12:00,12-05-2021 20:00,05-12-2021 21:48,Mumbai,158,SEXUAL ASSAULT,24,F,Explosives,Violent Crime,6,Yes,19-10-2022 12:00
16921,07-12-2021 01:00,12-06-2021 00:00,06-12-2021 22:24,Mumbai,271,SEXUAL ASSAULT,79,X,Blunt Object,Violent Crime,19,Yes,28-04-2023 01:00
16924,08-12-2021 22:00,12-06-2021 03:00,06-12-2021 04:10,Delhi,495,TRAFFIC VIOLATION,73,M,Blunt Object,Traffic Fatality,11,No,
16927,09-12-2021 01:00,12-06-2021 06:00,06-12-2021 14:35,Mumbai,408,ASSAULT,22,M,Other,Violent Crime,2,Yes,28-12-2021 01:00
16939,08-12-2021 14:00,12-06-2021 18:00,06-12-2021 18:26,Chennai,153,TRAFFIC VIOLATION,40,X,None,Traffic Fatality,1,No,
16942,09-12-2021 07:00,12-06-2021 21:00,07-12-2021 02:16,Delhi,382,CYBERCRIME,30,M,Knife,Other Crime,15,No,
16946,08-12-2021 17:00,12-07-2021 01:00,07-12-2021 22:28,Delhi,149,BURGLARY,74,M,Blunt Object,Other Crime,18,No,
16948,08-12-2021 09:00,12-07-2021 03:00,07-12-2021 10:11,Delhi,432,COUNTERFEITING,71,X,None,Other Crime,13,Yes,18-12-2021 09:00
16953,09-12-2021 11:00,12-07-2021 08:00,08-12-2021 05:49,Delhi,563,ARSON,70,M,Poison,Fire Accident,6,Yes,08-03-2022 11:00
16956,10-12-2021 09:00,12-07-2021 11:00,07-12-2021 14:39,Delhi,377,COUNTERFEITING,70,X,Blunt Object,Other Crime,18,Yes,03-02-2022 09:00
16958,09-12-2021 22:00,12-07-2021 13:00,07-12-2021 20:14,Delhi,545,IDENTITY THEFT,18,F,Blunt Object,Violent Crime,3,No,
16964,09-12-2021 13:00,12-07-2021 19:00,08-12-2021 04:30,Delhi,353,TRAFFIC VIOLATION,37,F,Blunt Object,Traffic Fatality,12,Yes,25-12-2021 13:00
16965,10-12-2021 15:00,12-07-2021 20:00,08-12-2021 04:27,Chennai,484,COUNTERFEITING,38,F,Knife,Other Crime,12,No,
16967,10-12-2021 14:00,12-07-2021 22:00,07-12-2021 23:56,Chennai,323,ILLEGAL POSSESSION,54,F,Knife,Other Crime,9,No,
16972,10-12-2021 06:00,12-08-2021 03:00,08-12-2021 21:32,Chennai,204,KIDNAPPING,23,F,Poison,Other Crime,3,No,
16974,08-12-2021 21:00,12-08-2021 05:00,08-12-2021 14:47,Mumbai,576,SHOPLIFTING,38,X,Knife,Other Crime,7,No,
16975,09-12-2021 07:00,12-08-2021 06:00,08-12-2021 16:45,Mumbai,521,DOMESTIC VIOLENCE,20,M,Knife,Violent Crime,16,No,
16978,09-12-2021 10:00,12-08-2021 09:00,08-12-2021 21:17,Delhi,273,TRAFFIC VIOLATION,35,X,Firearm,Traffic Fatality,3,Yes,11-12-2021 10:00
16983,10-12-2021 03:00,12-08-2021 14:00,09-12-2021 12:24,Chennai,462,KIDNAPPING,30,M,Other,Other Crime,1,No,
16984,09-12-2021 03:00,12-08-2021 15:00,09-12-2021 12:26,Mumbai,369,HOMICIDE,54,F,None,Other Crime,1,No,
16986,10-12-2021 04:00,12-08-2021 17:00,09-12-2021 08:05,Delhi,474,IDENTITY THEFT,59,M,None,Violent Crime,10,Yes,11-01-2022 04:00
16989,10-12-2021 19:00,12-08-2021 20:00,09-12-2021 16:55,Chennai,225,PUBLIC INTOXICATION,49,X,Knife,Other Crime,19,No,
16991,11-12-2021 18:00,12-08-2021 22:00,08-12-2021 22:35,Mumbai,404,TRAFFIC VIOLATION,43,F,Explosives,Traffic Fatality,3,No,
16992,09-12-2021 08:00,12-08-2021 23:00,09-12-2021 19:54,Delhi,347,CYBERCRIME,27,F,Explosives,Other Crime,19,Yes,12-01-2022 08:00
16995,11-12-2021 01:00,12-09-2021 02:00,09-12-2021 07:41,Mumbai,510,DRUG OFFENSE,20,M,Explosives,Other Crime,9,Yes,23-02-2022 01:00
16997,10-12-2021 01:00,12-09-2021 04:00,09-12-2021 18:10,Delhi,207,PUBLIC INTOXICATION,38,M,None,Other Crime,19,No,
17003,11-12-2021 15:00,12-09-2021 10:00,10-12-2021 06:40,Mumbai,481,ILLEGAL POSSESSION,24,X,Blunt Object,Other Crime,17,Yes,19-02-2022 15:00
17005,12-12-2021 00:00,12-09-2021 12:00,10-12-2021 10:15,Chennai,369,EXTORTION,62,M,None,Other Crime,12,No,
17006,10-12-2021 12:00,12-09-2021 13:00,10-12-2021 06:52,Mumbai,520,IDENTITY THEFT,46,X,None,Violent Crime,3,Yes,20-02-2022 12:00
17012,11-12-2021 17:00,12-09-2021 19:00,10-12-2021 10:50,Mumbai,459,IDENTITY THEFT,25,F,Other,Violent Crime,14,No,
17014,11-12-2021 23:00,12-09-2021 21:00,10-12-2021 12:49,Delhi,104,SHOPLIFTING,23,F,Explosives,Other Crime,6,No,
17015,11-12-2021 00:00,12-09-2021 22:00,10-12-2021 19:03,Mumbai,323,DOMESTIC VIOLENCE,79,M,Blunt Object,Violent Crime,1,Yes,01-01-2022 00:00
17018,13-12-2021 00:00,12-10-2021 01:00,10-12-2021 01:25,Delhi,457,DRUG OFFENSE,25,M,Blunt Object,Other Crime,16,No,
17025,12-12-2021 18:00,12-10-2021 08:00,10-12-2021 12:03,Chennai,592,ASSAULT,58,F,Other,Violent Crime,18,No,
17027,10-12-2021 22:00,12-10-2021 10:00,11-12-2021 03:26,Delhi,536,KIDNAPPING,50,M,Explosives,Other Crime,5,No,
17028,11-12-2021 11:00,12-10-2021 11:00,11-12-2021 01:13,Mumbai,519,TRAFFIC VIOLATION,31,X,Blunt Object,Traffic Fatality,10,No,
17030,11-12-2021 11:00,12-10-2021 13:00,10-12-2021 16:08,Chennai,363,VEHICLE - STOLEN,35,X,Blunt Object,Violent Crime,9,No,
17034,11-12-2021 00:00,12-10-2021 17:00,10-12-2021 20:22,Delhi,248,HOMICIDE,27,M,Poison,Other Crime,17,No,
17035,11-12-2021 18:00,12-10-2021 18:00,10-12-2021 23:54,Delhi,539,KIDNAPPING,65,X,Other,Other Crime,14,No,
17041,13-12-2021 18:00,12-11-2021 00:00,11-12-2021 10:41,Mumbai,364,HOMICIDE,36,X,None,Other Crime,10,No,
17046,11-12-2021 21:00,12-11-2021 05:00,11-12-2021 18:34,Delhi,186,SHOPLIFTING,63,X,Explosives,Other Crime,2,Yes,03-03-2022 21:00
17054,11-12-2021 20:00,12-11-2021 13:00,11-12-2021 19:16,Mumbai,379,VANDALISM,51,M,Knife,Other Crime,16,No,
17058,13-12-2021 19:00,12-11-2021 17:00,11-12-2021 18:13,Delhi,557,DRUG OFFENSE,57,M,Explosives,Other Crime,10,Yes,30-12-2021 19:00
17064,12-12-2021 15:00,12-11-2021 23:00,12-12-2021 19:39,Delhi,445,DOMESTIC VIOLENCE,72,X,Poison,Violent Crime,19,No,
17066,12-12-2021 16:00,12-12-2021 01:00,12-12-2021 16:08,Delhi,521,COUNTERFEITING,36,F,Knife,Other Crime,11,Yes,27-12-2021 16:00
17076,13-12-2021 21:00,12-12-2021 11:00,12-12-2021 13:58,Delhi,358,DRUG OFFENSE,54,X,Explosives,Other Crime,3,Yes,19-01-2022 21:00
17079,14-12-2021 12:00,12-12-2021 14:00,12-12-2021 20:02,Delhi,473,VANDALISM,35,X,Blunt Object,Other Crime,9,No,
17080,14-12-2021 23:00,12-12-2021 15:00,12-12-2021 18:16,Chennai,287,KIDNAPPING,43,X,Other,Other Crime,16,No,
17084,12-12-2021 22:00,12-12-2021 19:00,13-12-2021 01:08,Mumbai,574,ARSON,11,F,Knife,Fire Accident,14,Yes,25-12-2021 22:00
17086,15-12-2021 16:00,12-12-2021 21:00,13-12-2021 06:25,Chennai,552,ASSAULT,37,X,Other,Violent Crime,12,Yes,25-01-2022 16:00
17091,15-12-2021 05:00,12-13-2021 02:00,13-12-2021 07:55,Delhi,495,IDENTITY THEFT,21,M,Poison,Violent Crime,10,Yes,02-03-2022 05:00
17092,15-12-2021 05:00,12-13-2021 03:00,13-12-2021 11:34,Mumbai,308,FIREARM OFFENSE,42,X,Other,Fire Accident,6,No,
17093,13-12-2021 19:00,12-13-2021 04:00,13-12-2021 05:46,Mumbai,194,SEXUAL ASSAULT,29,M,Firearm,Violent Crime,11,Yes,05-10-2023 19:00
17094,15-12-2021 09:00,12-13-2021 05:00,13-12-2021 05:26,Delhi,486,COUNTERFEITING,76,X,Explosives,Other Crime,3,No,
17106,16-12-2021 14:00,12-13-2021 17:00,14-12-2021 08:48,Chennai,572,ASSAULT,29,X,Poison,Violent Crime,2,Yes,14-03-2022 14:00
17107,16-12-2021 00:00,12-13-2021 18:00,13-12-2021 23:46,Chennai,499,SHOPLIFTING,65,X,None,Other Crime,14,No,
17112,14-12-2021 06:00,12-13-2021 23:00,14-12-2021 17:14,Mumbai,442,ROBBERY,15,X,Poison,Violent Crime,13,Yes,03-02-2022 06:00
17123,15-12-2021 17:00,12-14-2021 10:00,14-12-2021 17:57,Mumbai,538,FIREARM OFFENSE,69,M,None,Fire Accident,1,Yes,06-01-2022 17:00
